序号,名称,中文译名
1,The Shawshank Redemption,肖申克的救赎
2,The Intern,实习生
3,Ford v Ferrari,极速车王
4,Click,人生遥控器
5,The Irishman,爱尔兰人
6,The Parent Trap,天生一对
7,Full Metal Jacket,全金属外壳
8,Knives Out,利刃出鞘
9,The Truman Show,楚门的世界
10,Blood Diamond,血钻
11,Little Miss Sunshine,阳光小美女
12,Groundhog Day,土拨鼠日
13,기생충,寄生虫
14,We Bought a Zoo,我家买了个动物园
15,The Bourne Identity,谍影重重
16,The Bourne Supremacy,谍影重重2
17,The Bourne Ultimatum,谍影重重3
18,The Bourne Legacy,谍影重重4
19,Jason Bourne,谍影重重5
20,ALWAYS 三丁目の夕日,永远的三丁目的夕阳
21,ALWAYS 続・三丁目の夕日,永远的三丁目的夕阳2
22,ALWAYS 三丁目の夕日'64,永远的三丁目的夕阳3
23,阳光普照,阳光普照
24,A Bronx Tale,布朗克斯的故事
25,Wasabi,绿芥刑警
26,让子弹飞,让子弹飞
27,3 Idiots,三傻大闹宝莱坞
28,The Bridges of Madison County,廊桥遗梦
29,Saving Private Ryan,拯救大兵瑞恩
30,The Godfather,教父
31,The Godfather Part II,教父2
32,Forrest Gump,阿甘正传
33,Titanic,泰坦尼克号
34,Inception,盗梦空间
35,Relatos salvajes,荒蛮故事
36,The Dark Knight,蝙蝠侠-黑暗骑士
37,The Chorus,放牛班的春天
38,La vita è bella,美丽人生
39,Dead Poets Society,死亡诗社
40,The Good Fellas,好家伙
41,The Matrix,黑客帝国
42,Good Will Hunting,心灵捕手
43,No Country for Old Men,老无所依
44,Braveheart,勇敢的心
45,Green Book,绿皮书
46,Homeless to Harvard: The Liz Murray Story,风雨哈佛路
47,The Unbearable Lightness of Being,布拉格之恋
48,Catch Me If You Can,猫鼠游戏
49,CODA,健听女孩
50,ハチ公物語,忠犬八公物语(日)
51,Hachi: A Dog's Tale,忠犬八公的故事(美)
52,无间道,无间道
53,言の葉の庭,言叶之庭
54,孤狼の血,孤狼之血
